Settlement;Date;ContractName
54,52;03.01.2011;Q4-2011
54,45;04.01.2011;Q4-2011
54,48;05.01.2011;Q4-2011
55,6;06.01.2011;Q4-2011
56,14;07.01.2011;Q4-2011
56,15;10.01.2011;Q4-2011
56,53;11.01.2011;Q4-2011
56,52;12.01.2011;Q4-2011
55,88;13.01.2011;Q4-2011
55,29;14.01.2011;Q4-2011
55,3;17.01.2011;Q4-2011
54,82;18.01.2011;Q4-2011
54,52;19.01.2011;Q4-2011
54,2;20.01.2011;Q4-2011
53,83;21.01.2011;Q4-2011
53,71;24.01.2011;Q4-2011
53,29;25.01.2011;Q4-2011
53,78;26.01.2011;Q4-2011
53,83;27.01.2011;Q4-2011
53,52;28.01.2011;Q4-2011
53,91;31.01.2011;Q4-2011
54,11;01.02.2011;Q4-2011
54,4;02.02.2011;Q4-2011
54,82;03.02.2011;Q4-2011
54,53;04.02.2011;Q4-2011
53,85;07.02.2011;Q4-2011
53,45;08.02.2011;Q4-2011
53,39;09.02.2011;Q4-2011
53,68;10.02.2011;Q4-2011
53,88;11.02.2011;Q4-2011
53,88;14.02.2011;Q4-2011
53,81;15.02.2011;Q4-2011
53,79;16.02.2011;Q4-2011
54,27;17.02.2011;Q4-2011
54,4;18.02.2011;Q4-2011
55,35;21.02.2011;Q4-2011
55,63;22.02.2011;Q4-2011
55,9;23.02.2011;Q4-2011
55,76;24.02.2011;Q4-2011
55,4;25.02.2011;Q4-2011
55,73;28.02.2011;Q4-2011
55,41;01.03.2011;Q4-2011
55,5;02.03.2011;Q4-2011
55,82;03.03.2011;Q4-2011
56,78;04.03.2011;Q4-2011
57,06;07.03.2011;Q4-2011
56,76;08.03.2011;Q4-2011
57;09.03.2011;Q4-2011
56,9;10.03.2011;Q4-2011
57,18;11.03.2011;Q4-2011
59,81;14.03.2011;Q4-2011
64,23;15.03.2011;Q4-2011
64,7;16.03.2011;Q4-2011
63,98;17.03.2011;Q4-2011
63,08;18.03.2011;Q4-2011
62,31;21.03.2011;Q4-2011
62,82;22.03.2011;Q4-2011
63,76;23.03.2011;Q4-2011
63,43;24.03.2011;Q4-2011
64,08;25.03.2011;Q4-2011
64,81;28.03.2011;Q4-2011
64,59;29.03.2011;Q1-2012
63,86;30.03.2011;Q1-2012
64,42;31.03.2011;Q1-2012
64,89;01.04.2011;Q1-2012
65,79;04.04.2011;Q1-2012
65,08;05.04.2011;Q1-2012
65,15;06.04.2011;Q1-2012
64,79;07.04.2011;Q1-2012
65,14;08.04.2011;Q1-2012
64,65;11.04.2011;Q1-2012
64,23;12.04.2011;Q1-2012
63,76;13.04.2011;Q1-2012
63,9;14.04.2011;Q1-2012
64,3;15.04.2011;Q1-2012
64,12;18.04.2011;Q1-2012
63,19;19.04.2011;Q1-2012
63,95;20.04.2011;Q1-2012
64,36;21.04.2011;Q1-2012
63,7;26.04.2011;Q1-2012
64,12;27.04.2011;Q1-2012
64,55;28.04.2011;Q1-2012
64,4;29.04.2011;Q1-2012
65,45;02.05.2011;Q1-2012
65,17;03.05.2011;Q1-2012
64,78;04.05.2011;Q1-2012
64,25;05.05.2011;Q1-2012
64,03;06.05.2011;Q1-2012
64,26;09.05.2011;Q1-2012
64,33;10.05.2011;Q1-2012
64,45;11.05.2011;Q1-2012
64,59;12.05.2011;Q1-2012
