Settlement;Date;ContractName
66,13;03.01.2011;Cal-2013
65,67;04.01.2011;Cal-2013
65,4;05.01.2011;Cal-2013
66,23;06.01.2011;Cal-2013
66,54;07.01.2011;Cal-2013
66,78;10.01.2011;Cal-2013
67,29;11.01.2011;Cal-2013
67,35;12.01.2011;Cal-2013
66,72;13.01.2011;Cal-2013
66,18;14.01.2011;Cal-2013
65,93;17.01.2011;Cal-2013
65,75;18.01.2011;Cal-2013
65,42;19.01.2011;Cal-2013
65,18;20.01.2011;Cal-2013
64,88;21.01.2011;Cal-2013
64,85;24.01.2011;Cal-2013
64,24;25.01.2011;Cal-2013
64,68;26.01.2011;Cal-2013
64,53;27.01.2011;Cal-2013
64,28;28.01.2011;Cal-2013
64,65;31.01.2011;Cal-2013
64,93;01.02.2011;Cal-2013
65;02.02.2011;Cal-2013
65,37;03.02.2011;Cal-2013
65,7;04.02.2011;Cal-2013
65;07.02.2011;Cal-2013
64,9;08.02.2011;Cal-2013
64,83;09.02.2011;Cal-2013
65,16;10.02.2011;Cal-2013
65,78;11.02.2011;Cal-2013
65,4;14.02.2011;Cal-2013
65,53;15.02.2011;Cal-2013
65,05;16.02.2011;Cal-2013
65,7;17.02.2011;Cal-2013
65,85;18.02.2011;Cal-2013
67;21.02.2011;Cal-2013
67,4;22.02.2011;Cal-2013
67,38;23.02.2011;Cal-2013
67,33;24.02.2011;Cal-2013
67,1;25.02.2011;Cal-2013
67,1;28.02.2011;Cal-2013
66,91;01.03.2011;Cal-2013
66,71;02.03.2011;Cal-2013
66,8;03.03.2011;Cal-2013
66,68;04.03.2011;Cal-2013
67,43;07.03.2011;Cal-2013
66,74;08.03.2011;Cal-2013
66,37;09.03.2011;Cal-2013
65,86;10.03.2011;Cal-2013
65,88;11.03.2011;Cal-2013
68;14.03.2011;Cal-2013
72,52;15.03.2011;Cal-2013
71,63;16.03.2011;Cal-2013
71,4;17.03.2011;Cal-2013
71,9;18.03.2011;Cal-2013
72,05;21.03.2011;Cal-2013
72,74;22.03.2011;Cal-2013
72,98;23.03.2011;Cal-2013
72,57;24.03.2011;Cal-2013
72,5;25.03.2011;Cal-2013
73,75;28.03.2011;Cal-2013
73,38;29.03.2011;Cal-2013
73,02;30.03.2011;Cal-2013
74,01;31.03.2011;Cal-2013
74,75;01.04.2011;Cal-2013
75,2;04.04.2011;Cal-2013
74,83;05.04.2011;Cal-2013
74,57;06.04.2011;Cal-2013
73,97;07.04.2011;Cal-2013
74,28;08.04.2011;Cal-2013
73,53;11.04.2011;Cal-2013
73,04;12.04.2011;Cal-2013
72,08;13.04.2011;Cal-2013
72,36;14.04.2011;Cal-2013
72,61;15.04.2011;Cal-2013
72,71;18.04.2011;Cal-2013
71,58;19.04.2011;Cal-2013
71,85;20.04.2011;Cal-2013
72,03;21.04.2011;Cal-2013
71,83;26.04.2011;Cal-2013
71,87;27.04.2011;Cal-2013
72,35;28.04.2011;Cal-2013
72,45;29.04.2011;Cal-2013
72,99;02.05.2011;Cal-2013
72,57;03.05.2011;Cal-2013
72,85;04.05.2011;Cal-2013
72,47;05.05.2011;Cal-2013
72;06.05.2011;Cal-2013
72,5;09.05.2011;Cal-2013
72,75;10.05.2011;Cal-2013
72,93;11.05.2011;Cal-2013
72,6;12.05.2011;Cal-2013
73,15;13.05.2011;Cal-2013
72,8;16.05.2011;Cal-2013
72,5;17.05.2011;Cal-2013
72,12;18.05.2011;Cal-2013
72,35;19.05.2011;Cal-2013
71,83;20.05.2011;Cal-2013
71,9;23.05.2011;Cal-2013
71,92;24.05.2011;Cal-2013
71,98;25.05.2011;Cal-2013
72,4;26.05.2011;Cal-2013
73,01;27.05.2011;Cal-2013
73,78;30.05.2011;Cal-2013
73,61;31.05.2011;Cal-2013
73,25;01.06.2011;Cal-2013
73,25;02.06.2011;Cal-2013
73,3;03.06.2011;Cal-2013
72,84;06.06.2011;Cal-2013
73,3;07.06.2011;Cal-2013
73,16;08.06.2011;Cal-2013
73,2;09.06.2011;Cal-2013
73,58;10.06.2011;Cal-2013
73,65;14.06.2011;Cal-2013
73,29;15.06.2011;Cal-2013
72,95;16.06.2011;Cal-2013
72,9;17.06.2011;Cal-2013
72,5;20.06.2011;Cal-2013
71,9;21.06.2011;Cal-2013
72,13;22.06.2011;Cal-2013
70,5;23.06.2011;Cal-2013
71,23;24.06.2011;Cal-2013
70,96;27.06.2011;Cal-2013
71,7;28.06.2011;Cal-2013
71,62;29.06.2011;Cal-2013
71,38;30.06.2011;Cal-2013
71,63;01.07.2011;Cal-2013
71,89;04.07.2011;Cal-2013
72,23;05.07.2011;Cal-2013
72,25;06.07.2011;Cal-2013
72,85;07.07.2011;Cal-2013
72,58;08.07.2011;Cal-2013
72,25;11.07.2011;Cal-2013
71,95;12.07.2011;Cal-2013
71,96;13.07.2011;Cal-2013
71,8;14.07.2011;Cal-2013
71,9;15.07.2011;Cal-2013
71,54;18.07.2011;Cal-2013
71,7;19.07.2011;Cal-2013
71,8;20.07.2011;Cal-2013
72,28;21.07.2011;Cal-2013
72,02;22.07.2011;Cal-2013
71,81;25.07.2011;Cal-2013
71,75;26.07.2011;Cal-2013
71,88;27.07.2011;Cal-2013
71,83;28.07.2011;Cal-2013
71,86;29.07.2011;Cal-2013
