"";"Date";"Spread0BQIII"
"1";2011-01-03;-4,52
"2";2011-01-04;-4,12
"3";2011-01-05;-3,65
"4";2011-01-06;-3,38
"5";2011-01-07;-3,43
"6";2011-01-10;-3,43
"7";2011-01-11;-3,48
"8";2011-01-12;-3,26
"9";2011-01-13;-3,18
"10";2011-01-14;-2,92
"11";2011-01-17;-2,84
"12";2011-01-18;-3,17
"13";2011-01-19;-3,01
"14";2011-01-20;-3,06
"15";2011-01-21;-3,23
"16";2011-01-24;-3,3
"17";2011-01-25;-3,29000000000001
"18";2011-01-26;-3,62
"19";2011-01-27;-3,58
"20";2011-01-28;-3,54000000000001
"21";2011-01-31;-3,74
"22";2011-02-01;-4,2
"23";2011-02-02;-4,26
"24";2011-02-03;-4,2
"25";2011-02-04;-4,17
"26";2011-02-07;-4,2
"27";2011-02-08;-4,07
"28";2011-02-09;-4,03
"29";2011-02-10;-4,09999999999999
"30";2011-02-11;-4,16999999999999
"31";2011-02-14;-3,98999999999999
"32";2011-02-15;-4,06
"33";2011-02-16;-4,03
"34";2011-02-17;-4,15
"35";2011-02-18;-4,23
"36";2011-02-21;-4,27
"37";2011-02-22;-4,11
"38";2011-02-23;-3,71
"39";2011-02-24;-3,54
"40";2011-02-25;-3,5
"41";2011-02-28;-3,69
"42";2011-03-01;-3,55
"43";2011-03-02;-3,56
"44";2011-03-03;-3,31
"45";2011-03-04;-2,61
"46";2011-03-07;-2,72
"47";2011-03-08;-2,68
"48";2011-03-09;-2,76
"49";2011-03-10;-2,39
"50";2011-03-11;-1,98
"51";2011-03-14;-1,38
"52";2011-03-15;1,65000000000001
"53";2011-03-16;2,18
"54";2011-03-17;1,32
"55";2011-03-18;-0,43
"56";2011-03-21;-2,02
"57";2011-03-22;-2,54000000000001
"58";2011-03-23;-2,4
"59";2011-03-24;-1,95
"60";2011-03-25;-1,7
"61";2011-03-28;-1,99
"62";2011-12-28;-3,98
"63";2011-12-29;-4,02
"64";2011-12-30;-3,44
"65";2012-01-02;-4,05
"66";2012-01-03;-4,81
"67";2012-01-04;-5,21
"68";2012-01-05;-5,3
"69";2012-01-06;-5,11
"70";2012-01-09;-5,34
"71";2012-01-10;-5,68
"72";2012-01-11;-5,7
"73";2012-01-12;-6
"74";2012-01-13;-6,06
"75";2012-01-16;-6,13
"76";2012-01-17;-5,9
"77";2012-01-18;-5,97
"78";2012-01-19;-6,09
"79";2012-01-20;-5,98
"80";2012-01-23;-6
"81";2012-01-24;-6,22000000000001
"82";2012-01-25;-6,37
"83";2012-01-26;-6,19
"84";2012-01-27;-5,77
"85";2012-01-30;-5,27999999999999
"86";2012-01-31;-5,66999999999999
"87";2012-02-01;-5,89
"88";2012-02-02;-6,36000000000001
"89";2012-02-03;-6,1
"90";2012-02-06;-6,56
"91";2012-02-07;-6,51
"92";2012-02-08;-6,42
"93";2012-02-09;-6,38
"94";2012-02-10;-6,33
"95";2012-02-13;-6,25
"96";2012-02-14;-6,39
"97";2012-02-15;-6,41
"98";2012-02-16;-6,45999999999999
"99";2012-02-17;-6,37
"100";2012-02-20;-6,31
"101";2012-02-21;-6,17
"102";2012-02-22;-6,19
"103";2012-02-23;-6,02
"104";2012-02-24;-6,25
"105";2012-02-27;-6,18
"106";2012-02-28;-5,88
"107";2012-02-29;-6,24
"108";2012-03-01;-6,6
"109";2012-03-02;-6,84
"110";2012-03-05;-6,9
"111";2012-03-06;-6,42
"112";2012-03-07;-6,19
"113";2012-03-08;-6,35
"114";2012-03-09;-6,3
"115";2012-03-12;-6,07
"116";2012-03-13;-6,14
"117";2012-03-14;-6,47
"118";2012-03-15;-6,08
"119";2012-03-16;-5,99
"120";2012-03-19;-5,99
"121";2012-03-20;-5,8
"122";2012-03-21;-5,64
"123";2012-03-22;-6,28
"124";2012-03-23;-6,54
"125";2012-03-26;-7,07
"126";2012-03-27;-7,27
"127";2012-12-21;-3,22
"128";2012-12-27;-3,43
"129";2012-12-28;-3,51000000000001
"130";2013-01-02;-3,51
"131";2013-01-03;-3,51
"132";2013-01-04;-3,66
"133";2013-01-07;-3,73
"134";2013-01-08;-3,52
"135";2013-01-09;-3,45
"136";2013-01-10;-3,31
"137";2013-01-11;-3,25
"138";2013-01-14;-3,11
"139";2013-01-15;-3,1
"140";2013-01-16;-3,01
"141";2013-01-17;-2,64
"142";2013-01-18;-2,7
"143";2013-01-21;-2,59
"144";2013-01-22;-2,37
"145";2013-01-23;-2,16
"146";2013-01-24;-1,66
"147";2013-01-25;-1,85
"148";2013-01-28;-1,84999999999999
"149";2013-01-29;-2,08
"150";2013-01-30;-2,36
"151";2013-01-31;-2,22
"152";2013-02-01;-2,41
"153";2013-02-04;-3,04
"154";2013-02-05;-3,29
"155";2013-02-06;-3,22
"156";2013-02-07;-3,31
"157";2013-02-08;-3,45
"158";2013-02-11;-3,57
"159";2013-02-12;-3,62
"160";2013-02-13;-3,62
"161";2013-02-14;-3,54000000000001
"162";2013-02-15;-3,41
"163";2013-02-18;-3,32
"164";2013-02-19;-3,14
"165";2013-02-20;-3,1
"166";2013-02-21;-3,41
"167";2013-02-22;-3,38
"168";2013-02-25;-3,32
"169";2013-02-26;-3,07
"170";2013-02-27;-2,81
"171";2013-02-28;-2,77
"172";2013-03-01;-2,74
"173";2013-03-04;-2,7
"174";2013-03-05;-2,77
"175";2013-03-06;-2,78
"176";2013-03-07;-2,79
"177";2013-03-08;-2,85
"178";2013-03-11;-2,88
"179";2013-03-12;-2,92
"180";2013-03-13;-2,77
"181";2013-03-14;-2,89
"182";2013-03-15;-3,01
"183";2013-03-18;-3,12
"184";2013-03-19;-3,19
"185";2013-03-20;-3,21
"186";2013-03-21;-3,45
"187";2013-03-22;-3,37
"188";2013-03-25;-3,28
"189";2013-12-27;-0,979999999999997
"190";2013-12-30;-0,950000000000003
"191";2014-01-02;-0,829999999999998
"192";2014-01-03;-0,859999999999999
"193";2014-01-06;-0,93
"194";2014-01-07;-0,829999999999998
"195";2014-01-08;-0,649999999999999
"196";2014-01-09;-0,620000000000005
"197";2014-01-10;-0,700000000000003
"198";2014-01-13;-0,719999999999999
"199";2014-01-14;-0,880000000000003
"200";2014-01-15;-0,859999999999999
"201";2014-01-16;-0,990000000000002
