"";"Date";"SpreadBQI";"SpreadBQII";"SpreadBQIII";"SpreadBQIV"
"1";2011-06-28;5,68;-5,51;-4,48;4,32
"2";2011-06-29;5,71;-5,28;-4,33;3,9
"3";2011-06-30;5,32;-5,41;-4,32;4,4
"4";2011-07-01;4,87;-5,26;-4,18;4,57
"5";2011-07-04;4,77;-5,11000000000001;-4,14;4,48
"6";2011-07-05;4,81;-5,08;-4,22;4,5
"7";2011-07-06;4,81;-4,97;-4,02;4,17
"8";2011-07-07;5,24;-5,20999999999999;-4,18;4,16
"9";2011-07-08;5,15;-5,04;-4,21;4,1
"10";2011-07-11;5,14;-5,07;-4,33;4,27
"11";2011-07-12;5,41;-5,06;-4,5;4,15
"12";2011-07-13;5,39;-5,09;-4,55;4,26
"13";2011-07-14;5,47;-5,14;-4,6;4,26
"14";2011-07-15;5,43;-5,04000000000001;-4,67;4,29
"15";2011-07-18;5,37;-5,09;-4,64;4,36
"16";2011-07-19;5,34;-5,26000000000001;-4,37;4,3
"17";2011-07-20;5,32;-5,18;-4,43;4,28
"18";2011-07-21;5,48999999999999;-5,19;-4,48;4,19
"19";2011-07-22;5,49;-5,26;-4,39;4,16
"20";2011-07-25;5,42;-5,16;-4,49;4,23
"21";2011-07-26;5,33000000000001;-5,21;-4,47;4,35
"22";2011-07-27;4,92;-4,87;-4,1;4,05
"23";2011-07-28;4,93;-4,66;-4,48;4,22
"24";2011-07-29;4,61000000000001;-4,48999999999999;-4,26;4,14
"25";2011-08-01;4,58000000000001;-4,57;-4,32;4,3
"26";2011-08-02;4,42;-4,56;-3,88;4,02
"27";2011-08-03;4,41;-4,21;-4;3,8
"28";2011-08-04;4,33;-4,12;-4,01;3,8
"29";2011-08-05;4,01;-3,96;-3,64;3,59
"30";2011-08-08;4,2;-4,12;-3,74;3,66
"31";2011-08-09;4,42;-4,15;-3,93;3,66
"32";2011-08-10;4,62;-4,34;-4,09;3,81
"33";2011-08-11;4,76;-4,41;-4,24;3,89
"34";2011-08-12;4,66;-4,59999999999999;-4,09;4,02
"35";2011-08-15;4,8;-4,64;-4,16999999999999;4
"36";2011-08-16;4,82;-4,69;-4,13;4
"37";2011-08-17;4,88;-4,87;-4,45999999999999;4,45
