Base;Date
44,1504;23.09.2018
38,88;24.09.2018
62,3396;25.09.2018
45,3775;26.09.2018
53,8892;27.09.2018
51,9679;28.09.2018
46,49;29.09.2018
41,7425;30.09.2018
63,1858;01.10.2018
49,7467;02.10.2018
60,4004;03.10.2018
72,7558;04.10.2018
69,4717;05.10.2018
58,8863;06.10.2018
55,1979;07.10.2018
74,18;08.10.2018
77,9942;09.10.2018
73,6804;10.10.2018
71,7117;11.10.2018
63,9546;12.10.2018
55,4521;13.10.2018
36,185;14.10.2018
62,2313;15.10.2018
74,1558;16.10.2018
74,6892;17.10.2018
71,4779;18.10.2018
71,1283;19.10.2018
61,5696;20.10.2018
56,1021;21.10.2018
69,5125;22.10.2018
62,585;23.10.2018
58,9121;24.10.2018
59,2863;25.10.2018
61,5825;26.10.2018
54,3217;27.10.2018
45,9772;28.10.2018
50,9554;29.10.2018
42,7188;30.10.2018
52,0379;31.10.2018
49,4525;01.11.2018
57,8629;02.11.2018
54,0813;03.11.2018
49,0263;04.11.2018
59,2233;05.11.2018
58,9246;06.11.2018
56,4846;07.11.2018
62,8483;08.11.2018
59,7871;09.11.2018
44,6017;10.11.2018
42,0679;11.11.2018
56,95;12.11.2018
59,3592;13.11.2018
62,5275;14.11.2018
64,3171;15.11.2018
62,7733;16.11.2018
63,1775;17.11.2018
56,8279;18.11.2018
66,6104;19.11.2018
70,7188;20.11.2018
73,6521;21.11.2018
86,4767;22.11.2018
81,4913;23.11.2018
65,2058;24.11.2018
59,6196;25.11.2018
75,4008;26.11.2018
76,0238;27.11.2018
57,5021;28.11.2018
60,0896;29.11.2018
61,5146;30.11.2018
58,2075;01.12.2018
47,9558;02.12.2018
59,8375;03.12.2018
60,8858;04.12.2018
59,3263;05.12.2018
57,4858;06.12.2018
58,8375;07.12.2018
45,4204;08.12.2018
42,1629;09.12.2018
45,3721;10.12.2018
61,6008;11.12.2018
70,3321;12.12.2018
68,8942;13.12.2018
73,6738;14.12.2018
62,3633;15.12.2018
59,1754;16.12.2018
69,5596;17.12.2018
65,0896;18.12.2018
62,8504;19.12.2018
62,7342;20.12.2018
64,21;21.12.2018
50,7004;22.12.2018
43,4825;23.12.2018
47,3779;24.12.2018
23,6488;25.12.2018
48,5013;26.12.2018
60,4317;27.12.2018
60,0433;28.12.2018
51,8646;29.12.2018
49,9663;30.12.2018
54,8563;31.12.2018
15,0708;01.01.2019
35,5038;02.01.2019
59,3458;03.01.2019
53,9521;04.01.2019
52,5263;05.01.2019
54,9246;06.01.2019
61,4817;07.01.2019
53,3679;08.01.2019
56,5683;09.01.2019
68,9242;10.01.2019
56,7708;11.01.2019
44,63;12.01.2019
40,4858;13.01.2019
