Peak (09-20);Date
52,28;23.09.2018
41,2925;24.09.2018
67,6333;25.09.2018
46,1933;26.09.2018
58,6042;27.09.2018
53,9;28.09.2018
45,5342;29.09.2018
40,9992;30.09.2018
69,0983;01.10.2018
52,1592;02.10.2018
65,8325;03.10.2018
78,9333;04.10.2018
77,8142;05.10.2018
61,8267;06.10.2018
56,6983;07.10.2018
83,1767;08.10.2018
86,7933;09.10.2018
81,675;10.10.2018
80,1867;11.10.2018
71,2708;12.10.2018
62,89;13.10.2018
41,2808;14.10.2018
72,6292;15.10.2018
83,895;16.10.2018
85,4975;17.10.2018
81,0442;18.10.2018
80,5433;19.10.2018
65,6483;20.10.2018
57,7908;21.10.2018
78,7292;22.10.2018
75,8333;23.10.2018
71,0758;24.10.2018
62,6208;25.10.2018
67,3517;26.10.2018
62,3142;27.10.2018
47,7967;28.10.2018
63,2342;29.10.2018
50,1717;30.10.2018
63,9142;31.10.2018
54,2258;01.11.2018
65,4192;02.11.2018
59,4592;03.11.2018
52,9733;04.11.2018
69,6483;05.11.2018
67,0142;06.11.2018
64,4442;07.11.2018
72,28;08.11.2018
66,64;09.11.2018
47,8375;10.11.2018
44,85;11.11.2018
65,6333;12.11.2018
67,5875;13.11.2018
70,91;14.11.2018
71,9458;15.11.2018
69,6892;16.11.2018
67,315;17.11.2018
58,9625;18.11.2018
74,1775;19.11.2018
78,9658;20.11.2018
86,5867;21.11.2018
105,6575;22.11.2018
97,6525;23.11.2018
70,635;24.11.2018
63,7958;25.11.2018
91,9958;26.11.2018
91,5117;27.11.2018
61,5083;28.11.2018
66,7442;29.11.2018
67,7967;30.11.2018
66,6192;01.12.2018
50,8842;02.12.2018
67,5983;03.12.2018
65,7425;04.12.2018
68,0642;05.12.2018
64,76;06.12.2018
65,3817;07.12.2018
49,2017;08.12.2018
43,4325;09.12.2018
55,5967;10.12.2018
68,4208;11.12.2018
82,8758;12.12.2018
77,8917;13.12.2018
85,3292;14.12.2018
67,0058;15.12.2018
64,29;16.12.2018
80,5717;17.12.2018
70,9667;18.12.2018
69,4508;19.12.2018
68,8758;20.12.2018
67,5842;21.12.2018
54,1967;22.12.2018
50,4875;23.12.2018
52,8867;24.12.2018
27,2183;25.12.2018
57,3667;26.12.2018
66,775;27.12.2018
66,2942;28.12.2018
55,06;29.12.2018
51,2675;30.12.2018
62,3283;31.12.2018
17,6;01.01.2019
53,9033;02.01.2019
66,4633;03.01.2019
58,3492;04.01.2019
55,6075;05.01.2019
57,7475;06.01.2019
68,7675;07.01.2019
63,3767;08.01.2019
65,2917;09.01.2019
79,2083;10.01.2019
63,92;11.01.2019
46,0142;12.01.2019
43,2758;13.01.2019
51,3075;14.01.2019
56,3283;15.01.2019
57,7875;16.01.2019
58,175;17.01.2019
71,3025;18.01.2019
64,2192;19.01.2019
62,7583;20.01.2019
80,0142;21.01.2019
73,7625;22.01.2019
88,935;23.01.2019
102,7383;24.01.2019
74,8658;25.01.2019
56,385;26.01.2019
50,535;27.01.2019
66,5933;28.01.2019
69,7092;29.01.2019
67,8767;30.01.2019
67,8592;31.01.2019
64,8208;01.02.2019
54,0633;02.02.2019
49,6067;03.02.2019
56,21;04.02.2019
61,8417;05.02.2019
57,415;06.02.2019
54,3083;07.02.2019
56,2133;08.02.2019
53,7925;09.02.2019
35,8133;10.02.2019
46,5858;11.02.2019
54,6525;12.02.2019
51,1608;13.02.2019
53,0542;14.02.2019
50,3933;15.02.2019
44,7717;16.02.2019
40,03;17.02.2019
51,7083;18.02.2019
50,3517;19.02.2019
51,5042;20.02.2019
49,7025;21.02.2019
50,9433;22.02.2019
42,0008;23.02.2019
39,785;24.02.2019
46,6;25.02.2019
46,3633;26.02.2019
45,6692;27.02.2019
43,4325;28.02.2019
49,3517;01.03.2019
44,2358;02.03.2019
13,1108;03.03.2019
25,0692;04.03.2019
45,1942;05.03.2019
36,3133;06.03.2019
33,3542;07.03.2019
36,8083;08.03.2019
33,5058;09.03.2019
28,7358;10.03.2019
44,085;11.03.2019
39,8242;12.03.2019
42,955;13.03.2019
40,0983;14.03.2019
34,3267;15.03.2019
28,6667;16.03.2019
-0,1975;17.03.2019
41,7883;18.03.2019
48,0708;19.03.2019
42,8;20.03.2019
40,58;21.03.2019
40,735;22.03.2019
34,4708;23.03.2019
31,8667;24.03.2019
34,2783;25.03.2019
36,755;26.03.2019
41,9717;27.03.2019
45,6342;28.03.2019
39,5117;29.03.2019
33,2433;30.03.2019
22,4192;31.03.2019
38,8133;01.04.2019
35,435;02.04.2019
46,435;03.04.2019
44,855;04.04.2019
44,6908;05.04.2019
37,7775;06.04.2019
35,9783;07.04.2019
46,4233;08.04.2019
43,9567;09.04.2019
