Base;Date
20,7813;01.01.2011
43,1613;02.01.2011
59,8596;03.01.2011
57,6379;04.01.2011
55,0763;05.01.2011
47,2821;06.01.2011
52,2308;07.01.2011
35,2113;08.01.2011
35,8904;09.01.2011
48,9;10.01.2011
56,7721;11.01.2011
49,4754;12.01.2011
47,5063;13.01.2011
45,585;14.01.2011
41,295;15.01.2011
32,6492;16.01.2011
48,1917;17.01.2011
52,9358;18.01.2011
57,1396;19.01.2011
56,595;20.01.2011
57,285;21.01.2011
53,8408;22.01.2011
48,0492;23.01.2011
58,1671;24.01.2011
53,9788;25.01.2011
58,985;26.01.2011
58,265;27.01.2011
57,5783;28.01.2011
51,9904;29.01.2011
49,8271;30.01.2011
61,7592;31.01.2011
58,8167;01.02.2011
55,5508;02.02.2011
51,4333;03.02.2011
34,0638;04.02.2011
23,0558;05.02.2011
33,8338;06.02.2011
42,0275;07.02.2011
50,14;08.02.2011
55,3171;09.02.2011
54,0475;10.02.2011
53,6896;11.02.2011
49,7371;12.02.2011
42,0196;13.02.2011
47,2508;14.02.2011
55,3271;15.02.2011
54,7583;16.02.2011
56,5813;17.02.2011
57,4183;18.02.2011
50,0004;19.02.2011
46,4167;20.02.2011
58,7054;21.02.2011
58,7738;22.02.2011
59,18;23.02.2011
58,3117;24.02.2011
56,3133;25.02.2011
50,8696;26.02.2011
50,2963;27.02.2011
60,1463;28.02.2011
58,2538;01.03.2011
55,9313;02.03.2011
59,1217;03.03.2011
59,8096;04.03.2011
48,4121;05.03.2011
46,6746;06.03.2011
56,5783;07.03.2011
53,0192;08.03.2011
54,6967;09.03.2011
50,2854;10.03.2011
54,4058;11.03.2011
53,2992;12.03.2011
50,5717;13.03.2011
59,2133;14.03.2011
53,8292;15.03.2011
52,9892;16.03.2011
56,0392;17.03.2011
60,2821;18.03.2011
49,6279;19.03.2011
47,4808;20.03.2011
56,0442;21.03.2011
55,6854;22.03.2011
56,02;23.03.2011
55,0317;24.03.2011
54,9521;25.03.2011
54,9167;26.03.2011
49,3365;27.03.2011
57,5225;28.03.2011
56,6596;29.03.2011
58,2733;30.03.2011
53,5871;31.03.2011
54,685;01.04.2011
52,0146;02.04.2011
46,3758;03.04.2011
58,4929;04.04.2011
55,2125;05.04.2011
55,3271;06.04.2011
55,2229;07.04.2011
51,8217;08.04.2011
43,8446;09.04.2011
33,4688;10.04.2011
56,5654;11.04.2011
53,1533;12.04.2011
55,9579;13.04.2011
60,6942;14.04.2011
58,6083;15.04.2011
54,2825;16.04.2011
49,7033;17.04.2011
59,5575;18.04.2011
56,4575;19.04.2011
57,2992;20.04.2011
56,8713;21.04.2011
51,4321;22.04.2011
47,2708;23.04.2011
33,9671;24.04.2011
27,9513;25.04.2011
53,0046;26.04.2011
56,2279;27.04.2011
55,3129;28.04.2011
52,6342;29.04.2011
43,9963;30.04.2011
31,2654;01.05.2011
54,3846;02.05.2011
61,21;03.05.2011
59,8104;04.05.2011
62,3046;05.05.2011
56,9879;06.05.2011
51,9117;07.05.2011
45,8792;08.05.2011
60,5692;09.05.2011
63,3154;10.05.2011
65,1204;11.05.2011
68,2988;12.05.2011
60,0829;13.05.2011
53,5092;14.05.2011
49,7667;15.05.2011
56,2963;16.05.2011
62,3517;17.05.2011
61,3483;18.05.2011
62,1538;19.05.2011
66,8754;20.05.2011
53,6883;21.05.2011
48,2583;22.05.2011
61,4692;23.05.2011
56,3629;24.05.2011
63,015;25.05.2011
55,4871;26.05.2011
57,7738;27.05.2011
51,4613;28.05.2011
42,9133;29.05.2011
59,9363;30.05.2011
57,9671;31.05.2011
60,0583;01.06.2011
50,9133;02.06.2011
53,5542;03.06.2011
50,74;04.06.2011
48,6867;05.06.2011
60,3971;06.06.2011
62,2938;07.06.2011
60,9079;08.06.2011
55,7688;09.06.2011
58,8667;10.06.2011
52,9479;11.06.2011
50,3671;12.06.2011
52,145;13.06.2011
59,8929;14.06.2011
63,2413;15.06.2011
59,5058;16.06.2011
55,9479;17.06.2011
50,3613;18.06.2011
13,6292;19.06.2011
45,6675;20.06.2011
56,1208;21.06.2011
53,9425;22.06.2011
45,3421;23.06.2011
50,3271;24.06.2011
46,2296;25.06.2011
43,0188;26.06.2011
54,4221;27.06.2011
50,4004;28.06.2011
51,9746;29.06.2011
51,1963;30.06.2011
50,9079;01.07.2011
43,0438;02.07.2011
30,2429;03.07.2011
53,2954;04.07.2011
54,6913;05.07.2011
53,5367;06.07.2011
55,2888;07.07.2011
52,0604;08.07.2011
49,6283;09.07.2011
44,3608;10.07.2011
56,1533;11.07.2011
51,0475;12.07.2011
50,6338;13.07.2011
48,4013;14.07.2011
48,1379;15.07.2011
42,8475;16.07.2011
35,4258;17.07.2011
43,6379;18.07.2011
51,9204;19.07.2011
50,6233;20.07.2011
51,1079;21.07.2011
48,2321;22.07.2011
27,6567;23.07.2011
19,8213;24.07.2011
44,8263;25.07.2011
49,7663;26.07.2011
49,9733;27.07.2011
49,7246;28.07.2011
48,9188;29.07.2011
42,3321;30.07.2011
40,1038;31.07.2011
49,8871;01.08.2011
48,6425;02.08.2011
47,5975;03.08.2011
49,6871;04.08.2011
48,0063;05.08.2011
45,19;06.08.2011
27,61;07.08.2011
44,6625;08.08.2011
35,6692;09.08.2011
40,7642;10.08.2011
42,5779;11.08.2011
48,4058;12.08.2011
47,6163;13.08.2011
43,3675;14.08.2011
46,6238;15.08.2011
51,1775;16.08.2011
51,2321;17.08.2011
52,1608;18.08.2011
51,1404;19.08.2011
48,35;20.08.2011
45,4967;21.08.2011
57,5021;22.08.2011
54,6929;23.08.2011
58,7513;24.08.2011
63,7433;25.08.2011
53,4025;26.08.2011
48,4925;27.08.2011
41,0683;28.08.2011
49,8208;29.08.2011
56,9183;30.08.2011
55,5021;31.08.2011
59,0133;01.09.2011
56,9033;02.09.2011
50,8813;03.09.2011
45,3358;04.09.2011
53,8838;05.09.2011
46,2346;06.09.2011
43,9404;07.09.2011
50,3313;08.09.2011
61,0325;09.09.2011
49,5529;10.09.2011
39,215;11.09.2011
48,935;12.09.2011
48,0692;13.09.2011
50,6554;14.09.2011
56,4467;15.09.2011
58,0817;16.09.2011
52,7008;17.09.2011
45,6346;18.09.2011
61,2671;19.09.2011
57,9733;20.09.2011
55,7908;21.09.2011
52,0029;22.09.2011
55,9679;23.09.2011
48,3358;24.09.2011
43,3096;25.09.2011
54,295;26.09.2011
60,2179;27.09.2011
58,4238;28.09.2011
57,2467;29.09.2011
57,6;30.09.2011
50,2267;01.10.2011
41,5892;02.10.2011
48,6333;03.10.2011
51,9113;04.10.2011
54,3613;05.10.2011
46,2429;06.10.2011
50,8004;07.10.2011
49,7338;08.10.2011
44,3042;09.10.2011
50,9754;10.10.2011
53,1542;11.10.2011
54,3883;12.10.2011
57,6333;13.10.2011
54,6454;14.10.2011
47,7108;15.10.2011
43,5779;16.10.2011
57,6842;17.10.2011
49,5938;18.10.2011
55,3625;19.10.2011
62,4129;20.10.2011
55,4883;21.10.2011
48,6742;22.10.2011
41,2621;23.10.2011
49,2821;24.10.2011
54,3158;25.10.2011
59,4583;26.10.2011
60,0742;27.10.2011
56,7488;28.10.2011
50,6671;29.10.2011
45,044;30.10.2011
55,3429;31.10.2011
47,3671;01.11.2011
58,6117;02.11.2011
52,6708;03.11.2011
55,9804;04.11.2011
47,6329;05.11.2011
46,0813;06.11.2011
56,3;07.11.2011
56,8658;08.11.2011
59,4133;09.11.2011
58,9529;10.11.2011
50,9146;11.11.2011
49,2008;12.11.2011
45,6488;13.11.2011
62,4329;14.11.2011
62,1292;15.11.2011
61,7779;16.11.2011
63,2146;17.11.2011
61,9533;18.11.2011
51,8413;19.11.2011
49,13;20.11.2011
64,2238;21.11.2011
63,89;22.11.2011
65,2667;23.11.2011
61,0667;24.11.2011
55,7096;25.11.2011
45,9321;26.11.2011
33,9196;27.11.2011
58,9904;28.11.2011
55,9742;29.11.2011
57,6683;30.11.2011
52,7608;01.12.2011
53,0163;02.12.2011
46,3188;03.12.2011
36,7517;04.12.2011
46,0475;05.12.2011
49,5938;06.12.2011
48,9521;07.12.2011
46,4133;08.12.2011
42,5863;09.12.2011
46,1317;10.12.2011
45,3883;11.12.2011
49,8388;12.12.2011
45,6388;13.12.2011
45,9808;14.12.2011
45,9942;15.12.2011
48,1267;16.12.2011
33,2038;17.12.2011
34,1525;18.12.2011
48,8929;19.12.2011
47,5396;20.12.2011
49,8279;21.12.2011
49,6517;22.12.2011
46,4875;23.12.2011
28,155;24.12.2011
15,6867;25.12.2011
27,6675;26.12.2011
42,6671;27.12.2011
44,3271;28.12.2011
33,8229;29.12.2011
39,0088;30.12.2011
39,1883;31.12.2011
18,1896;01.01.2012
33,8188;02.01.2012
35,0263;03.01.2012
32,1633;04.01.2012
20,35;05.01.2012
36,2571;06.01.2012
32,5758;07.01.2012
26,8283;08.01.2012
47,9083;09.01.2012
45,7733;10.01.2012
47,8333;11.01.2012
43,1038;12.01.2012
36,6929;13.01.2012
40,0608;14.01.2012
41,5821;15.01.2012
49,5088;16.01.2012
50,0183;17.01.2012
45,3721;18.01.2012
45,1583;19.01.2012
42,7338;20.01.2012
37,6054;21.01.2012
13,6575;22.01.2012
44,0083;23.01.2012
49,3508;24.01.2012
47,1583;25.01.2012
45,1825;26.01.2012
48,7558;27.01.2012
45,3392;28.01.2012
41,4975;29.01.2012
44,3088;30.01.2012
48,7213;31.01.2012
51,21;01.02.2012
62,3383;02.02.2012
63,8133;03.02.2012
51,3783;04.02.2012
44,33;05.02.2012
78,9467;06.02.2012
78,1221;07.02.2012
98,9825;08.02.2012
76,4871;09.02.2012
82,4775;10.02.2012
53,1929;11.02.2012
42,4975;12.02.2012
84,4267;13.02.2012
63,8733;14.02.2012
35,9771;15.02.2012
54,8875;16.02.2012
48,0679;17.02.2012
42,0954;18.02.2012
28,7454;19.02.2012
50,6375;20.02.2012
43,6196;21.02.2012
43,7942;22.02.2012
41,0258;23.02.2012
44,7808;24.02.2012
40,2996;25.02.2012
42,7667;26.02.2012
47,2579;27.02.2012
47,4204;28.02.2012
49,325;29.02.2012
47,4479;01.03.2012
49,0363;02.03.2012
39,3842;03.03.2012
37,4663;04.03.2012
44,5463;05.03.2012
48,5525;06.03.2012
43,2454;07.03.2012
45,8954;08.03.2012
47,7367;09.03.2012
41,7354;10.03.2012
31,6833;11.03.2012
45,0533;12.03.2012
47,9017;13.03.2012
46,7354;14.03.2012
47,4708;15.03.2012
43,6808;16.03.2012
40,2204;17.03.2012
34,3988;18.03.2012
46,0204;19.03.2012
43,4371;20.03.2012
45,5625;21.03.2012
45,3467;22.03.2012
41,7471;23.03.2012
38,63;24.03.2012
25,3691;25.03.2012
41,6033;26.03.2012
39,4033;27.03.2012
39,2563;28.03.2012
31,6154;29.03.2012
35,5583;30.03.2012
19,2379;31.03.2012
24,1033;01.04.2012
43,5433;02.04.2012
50,5508;03.04.2012
47,77;04.04.2012
50,0221;05.04.2012
41,7729;06.04.2012
39,4513;07.04.2012
35,1992;08.04.2012
21,86;09.04.2012
40,6708;10.04.2012
53,8563;11.04.2012
52,9592;12.04.2012
56,6771;13.04.2012
45,09;14.04.2012
34,3688;15.04.2012
45,2625;16.04.2012
51,4954;17.04.2012
50,8775;18.04.2012
50,3988;19.04.2012
53,8667;20.04.2012
42,1633;21.04.2012
37,7767;22.04.2012
51,3946;23.04.2012
51,2133;24.04.2012
44,1;25.04.2012
41,6296;26.04.2012
46,9008;27.04.2012
37,2154;28.04.2012
22,4646;29.04.2012
42,3025;30.04.2012
23,7754;01.05.2012
48,1758;02.05.2012
50,2883;03.05.2012
42,9254;04.05.2012
36,7675;05.05.2012
32,68;06.05.2012
47,3821;07.05.2012
40,3354;08.05.2012
48,6742;09.05.2012
43,1192;10.05.2012
38,8333;11.05.2012
35,3767;12.05.2012
31,1954;13.05.2012
44,67;14.05.2012
49,1879;15.05.2012
40,8717;16.05.2012
30,4054;17.05.2012
35,4933;18.05.2012
36,5238;19.05.2012
25,0588;20.05.2012
39,05;21.05.2012
46,1163;22.05.2012
43,4704;23.05.2012
43,1725;24.05.2012
38,6825;25.05.2012
29,8933;26.05.2012
20,4567;27.05.2012
25,6304;28.05.2012
41,1167;29.05.2012
46,0775;30.05.2012
48,9204;31.05.2012
38,1463;01.06.2012
30,255;02.06.2012
30,9463;03.06.2012
46,5096;04.06.2012
41,7475;05.06.2012
48,5013;06.06.2012
37,4833;07.06.2012
38,0325;08.06.2012
23,0392;09.06.2012
24,3683;10.06.2012
45,5675;11.06.2012
48,8625;12.06.2012
48,0258;13.06.2012
47,8858;14.06.2012
39,7308;15.06.2012
27,9483;16.06.2012
22,0029;17.06.2012
38,24;18.06.2012
47,5821;19.06.2012
50,8917;20.06.2012
48,6079;21.06.2012
39,2229;22.06.2012
32,1429;23.06.2012
18,585;24.06.2012
32,2513;25.06.2012
37,4525;26.06.2012
48,9667;27.06.2012
47,5333;28.06.2012
46,5163;29.06.2012
37,175;30.06.2012
25,0879;01.07.2012
44,4713;02.07.2012
49,6304;03.07.2012
47,3679;04.07.2012
46,2942;05.07.2012
48,5271;06.07.2012
39,7533;07.07.2012
24,6829;08.07.2012
40,7871;09.07.2012
47,715;10.07.2012
45,2975;11.07.2012
39,6475;12.07.2012
46,0363;13.07.2012
31,7179;14.07.2012
26,1896;15.07.2012
38,4154;16.07.2012
44,4929;17.07.2012
43,8142;18.07.2012
40,2517;19.07.2012
45,4642;20.07.2012
38,3858;21.07.2012
28,0888;22.07.2012
42,7292;23.07.2012
45,5408;24.07.2012
49,3583;25.07.2012
49,5767;26.07.2012
48,6308;27.07.2012
38,67;28.07.2012
30,6475;29.07.2012
39,8696;30.07.2012
44,4617;31.07.2012
41,4879;01.08.2012
42,5867;02.08.2012
46,7425;03.08.2012
40,1596;04.08.2012
35,9888;05.08.2012
43,6725;06.08.2012
38,1154;07.08.2012
44,2221;08.08.2012
47,1217;09.08.2012
44,8533;10.08.2012
41,0258;11.08.2012
26,4683;12.08.2012
45,1629;13.08.2012
47,9158;14.08.2012
41,4792;15.08.2012
51,4463;16.08.2012
51,7821;17.08.2012
40,4992;18.08.2012
36,7496;19.08.2012
49,9254;20.08.2012
61,0258;21.08.2012
49,3808;22.08.2012
53,2858;23.08.2012
51,3292;24.08.2012
42,6513;25.08.2012
24,8033;26.08.2012
47,8817;27.08.2012
49,445;28.08.2012
52,2308;29.08.2012
52,5204;30.08.2012
49,8563;31.08.2012
43,8204;01.09.2012
34,2767;02.09.2012
50,81;03.09.2012
49,0988;04.09.2012
