Settlement;Date;ContractName
55,45;03.01.2011;Cal-2014
54,81;04.01.2011;Cal-2014
54,17;05.01.2011;Cal-2014
54,85;06.01.2011;Cal-2014
55,3;07.01.2011;Cal-2014
55,57;10.01.2011;Cal-2014
55,83;11.01.2011;Cal-2014
55,51;12.01.2011;Cal-2014
55;13.01.2011;Cal-2014
54,8;14.01.2011;Cal-2014
54,81;17.01.2011;Cal-2014
54,25;18.01.2011;Cal-2014
54,13;19.01.2011;Cal-2014
54;20.01.2011;Cal-2014
53,63;21.01.2011;Cal-2014
53,68;24.01.2011;Cal-2014
53,5;25.01.2011;Cal-2014
53,73;26.01.2011;Cal-2014
53,9;27.01.2011;Cal-2014
53,73;28.01.2011;Cal-2014
53,88;31.01.2011;Cal-2014
54,09;01.02.2011;Cal-2014
54,18;02.02.2011;Cal-2014
54,83;03.02.2011;Cal-2014
54,58;04.02.2011;Cal-2014
54;07.02.2011;Cal-2014
53,55;08.02.2011;Cal-2014
53,53;09.02.2011;Cal-2014
53,9;10.02.2011;Cal-2014
54,2;11.02.2011;Cal-2014
53,88;14.02.2011;Cal-2014
54,03;15.02.2011;Cal-2014
54,09;16.02.2011;Cal-2014
54,3;17.02.2011;Cal-2014
54,13;18.02.2011;Cal-2014
55,18;21.02.2011;Cal-2014
55,43;22.02.2011;Cal-2014
55,4;23.02.2011;Cal-2014
55,15;24.02.2011;Cal-2014
54,95;25.02.2011;Cal-2014
55,05;28.02.2011;Cal-2014
54,73;01.03.2011;Cal-2014
54,63;02.03.2011;Cal-2014
54,98;03.03.2011;Cal-2014
54,93;04.03.2011;Cal-2014
55,28;07.03.2011;Cal-2014
54,75;08.03.2011;Cal-2014
54,78;09.03.2011;Cal-2014
54,38;10.03.2011;Cal-2014
54;11.03.2011;Cal-2014
55,73;14.03.2011;Cal-2014
59,2;15.03.2011;Cal-2014
58,93;16.03.2011;Cal-2014
58,43;17.03.2011;Cal-2014
58,25;18.03.2011;Cal-2014
58,27;21.03.2011;Cal-2014
58,63;22.03.2011;Cal-2014
59,2;23.03.2011;Cal-2014
58,69;24.03.2011;Cal-2014
59,23;25.03.2011;Cal-2014
60,15;28.03.2011;Cal-2014
60,05;29.03.2011;Cal-2014
59,67;30.03.2011;Cal-2014
60,53;31.03.2011;Cal-2014
60,9;01.04.2011;Cal-2014
61,55;04.04.2011;Cal-2014
60,8;05.04.2011;Cal-2014
60,88;06.04.2011;Cal-2014
60,2;07.04.2011;Cal-2014
60,4;08.04.2011;Cal-2014
60,03;11.04.2011;Cal-2014
59,5;12.04.2011;Cal-2014
59,03;13.04.2011;Cal-2014
59,59;14.04.2011;Cal-2014
60,24;15.04.2011;Cal-2014
60,31;18.04.2011;Cal-2014
59,72;19.04.2011;Cal-2014
60,18;20.04.2011;Cal-2014
60,13;21.04.2011;Cal-2014
59,6;26.04.2011;Cal-2014
60,03;27.04.2011;Cal-2014
60,31;28.04.2011;Cal-2014
60,35;29.04.2011;Cal-2014
60,83;02.05.2011;Cal-2014
60,68;03.05.2011;Cal-2014
60,4;04.05.2011;Cal-2014
59,77;05.05.2011;Cal-2014
59,3;06.05.2011;Cal-2014
59,65;09.05.2011;Cal-2014
59,6;10.05.2011;Cal-2014
59,73;11.05.2011;Cal-2014
59,63;12.05.2011;Cal-2014
60,15;13.05.2011;Cal-2014
60,03;16.05.2011;Cal-2014
59,57;17.05.2011;Cal-2014
59,62;18.05.2011;Cal-2014
59,9;19.05.2011;Cal-2014
59,8;20.05.2011;Cal-2014
59,58;23.05.2011;Cal-2014
59,43;24.05.2011;Cal-2014
59,5;25.05.2011;Cal-2014
59,6;26.05.2011;Cal-2014
59,98;27.05.2011;Cal-2014
60,94;30.05.2011;Cal-2014
60,67;31.05.2011;Cal-2014
60,23;01.06.2011;Cal-2014
60,23;02.06.2011;Cal-2014
60,4;03.06.2011;Cal-2014
60;06.06.2011;Cal-2014
60,25;07.06.2011;Cal-2014
60,15;08.06.2011;Cal-2014
60,11;09.06.2011;Cal-2014
60,3;10.06.2011;Cal-2014
60,65;14.06.2011;Cal-2014
60,46;15.06.2011;Cal-2014
60,2;16.06.2011;Cal-2014
60;17.06.2011;Cal-2014
59,48;20.06.2011;Cal-2014
58,73;21.06.2011;Cal-2014
58,65;22.06.2011;Cal-2014
57,32;23.06.2011;Cal-2014
57,9;24.06.2011;Cal-2014
57,1;27.06.2011;Cal-2014
57,95;28.06.2011;Cal-2014
57,85;29.06.2011;Cal-2014
58,05;30.06.2011;Cal-2014
58,13;01.07.2011;Cal-2014
58,4;04.07.2011;Cal-2014
59;05.07.2011;Cal-2014
58,85;06.07.2011;Cal-2014
59,48;07.07.2011;Cal-2014
59,2;08.07.2011;Cal-2014
58,55;11.07.2011;Cal-2014
58,53;12.07.2011;Cal-2014
58,3;13.07.2011;Cal-2014
58,28;14.07.2011;Cal-2014
58,15;15.07.2011;Cal-2014
58,23;18.07.2011;Cal-2014
58,23;19.07.2011;Cal-2014
58,39;20.07.2011;Cal-2014
58,76;21.07.2011;Cal-2014
58,6;22.07.2011;Cal-2014
58,5;25.07.2011;Cal-2014
58,43;26.07.2011;Cal-2014
58,53;27.07.2011;Cal-2014
58,88;28.07.2011;Cal-2014
58,55;29.07.2011;Cal-2014
58,8;01.08.2011;Cal-2014
58,6;02.08.2011;Cal-2014
58;03.08.2011;Cal-2014
57,8;04.08.2011;Cal-2014
57,55;05.08.2011;Cal-2014
57,15;08.08.2011;Cal-2014
57,2;09.08.2011;Cal-2014
57,65;10.08.2011;Cal-2014
57,7;11.08.2011;Cal-2014
57,94;12.08.2011;Cal-2014
57,58;15.08.2011;Cal-2014
57,37;16.08.2011;Cal-2014
57,7;17.08.2011;Cal-2014
57,42;18.08.2011;Cal-2014
57,2;19.08.2011;Cal-2014
57,28;22.08.2011;Cal-2014
57,35;23.08.2011;Cal-2014
57,72;24.08.2011;Cal-2014
57,49;25.08.2011;Cal-2014
57,63;26.08.2011;Cal-2014
58,04;29.08.2011;Cal-2014
58,1;30.08.2011;Cal-2014
58,27;31.08.2011;Cal-2014
58,45;01.09.2011;Cal-2014
