Peak (09-20);Date
23,1583;01.01.2011
50,945;02.01.2011
69,7308;03.01.2011
66,7617;04.01.2011
62,3783;05.01.2011
56,4767;06.01.2011
61,2533;07.01.2011
43,045;08.01.2011
44,7817;09.01.2011
62,69;10.01.2011
64,9058;11.01.2011
61,2775;12.01.2011
57,6917;13.01.2011
57,6042;14.01.2011
53,0558;15.01.2011
40,2158;16.01.2011
60,8117;17.01.2011
62,9517;18.01.2011
65,2308;19.01.2011
64,9233;20.01.2011
64,1858;21.01.2011
57,935;22.01.2011
51,2558;23.01.2011
65,2783;24.01.2011
62,3283;25.01.2011
66,5933;26.01.2011
65,8725;27.01.2011
63,6142;28.01.2011
55,7575;29.01.2011
51,565;30.01.2011
70,0683;31.01.2011
65,4833;01.02.2011
62,205;02.02.2011
60,1817;03.02.2011
47,9725;04.02.2011
31,1183;05.02.2011
39,6258;06.02.2011
54,1683;07.02.2011
58,1642;08.02.2011
63,0308;09.02.2011
59,4358;10.02.2011
59,5442;11.02.2011
54,4958;12.02.2011
47,4567;13.02.2011
55,0217;14.02.2011
62,9342;15.02.2011
62,3433;16.02.2011
63,4375;17.02.2011
63,6392;18.02.2011
52,4542;19.02.2011
47,8167;20.02.2011
65,0083;21.02.2011
66,8083;22.02.2011
66,7208;23.02.2011
65,6558;24.02.2011
63,5458;25.02.2011
54,1275;26.02.2011
52,7025;27.02.2011
67,6808;28.02.2011
64,9008;01.03.2011
60,5425;02.03.2011
63,6258;03.03.2011
64,1208;04.03.2011
50,735;05.03.2011
46,6083;06.03.2011
61,035;07.03.2011
56,9217;08.03.2011
55,2433;09.03.2011
53,0833;10.03.2011
59,8825;11.03.2011
54,6317;12.03.2011
52,5058;13.03.2011
66,575;14.03.2011
57,715;15.03.2011
60,2833;16.03.2011
65,5967;17.03.2011
66,2192;18.03.2011
52,8058;19.03.2011
47,9842;20.03.2011
61,9692;21.03.2011
59,0692;22.03.2011
60,6783;23.03.2011
58,0792;24.03.2011
57,755;25.03.2011
57,4108;26.03.2011
50,5942;27.03.2011
61,0158;28.03.2011
60,1567;29.03.2011
63,84;30.03.2011
58,0308;31.03.2011
60,6808;01.04.2011
52,4092;02.04.2011
49,0833;03.04.2011
65,0058;04.04.2011
57,8925;05.04.2011
58,7183;06.04.2011
58,575;07.04.2011
55,6975;08.04.2011
49,8467;09.04.2011
29,9158;10.04.2011
60,5758;11.04.2011
56;12.04.2011
59,2858;13.04.2011
66,4975;14.04.2011
61,6342;15.04.2011
54,425;16.04.2011
48,6267;17.04.2011
64,5292;18.04.2011
60,185;19.04.2011
61,7433;20.04.2011
60,8467;21.04.2011
52,2042;22.04.2011
47,5267;23.04.2011
35,0983;24.04.2011
26,1717;25.04.2011
59,4333;26.04.2011
61,16;27.04.2011
61,0225;28.04.2011
56,4517;29.04.2011
43,235;30.04.2011
28,3808;01.05.2011
59,0467;02.05.2011
67,2975;03.05.2011
64,1917;04.05.2011
66,5775;05.05.2011
60,5558;06.05.2011
53,5225;07.05.2011
47,3883;08.05.2011
69,9483;09.05.2011
71,9242;10.05.2011
71,4358;11.05.2011
76,82;12.05.2011
63,8267;13.05.2011
55,1458;14.05.2011
48,2583;15.05.2011
62,9583;16.05.2011
70,7275;17.05.2011
67,0092;18.05.2011
69,165;19.05.2011
75,6708;20.05.2011
55,3175;21.05.2011
49,1517;22.05.2011
70,9567;23.05.2011
61,8542;24.05.2011
70,0925;25.05.2011
59,2558;26.05.2011
63,0025;27.05.2011
52,9483;28.05.2011
42,3017;29.05.2011
65,8508;30.05.2011
66,3892;31.05.2011
66,6417;01.06.2011
50,7425;02.06.2011
56,2717;03.06.2011
52,9042;04.06.2011
49,8867;05.06.2011
67,9325;06.06.2011
70,1717;07.06.2011
69,6958;08.06.2011
61,585;09.06.2011
65,79;10.06.2011
55,1875;11.06.2011
51,1283;12.06.2011
57,4158;13.06.2011
66,2592;14.06.2011
71,7492;15.06.2011
66,625;16.06.2011
61,5867;17.06.2011
55,505;18.06.2011
8,2033;19.06.2011
61,6675;20.06.2011
63,5842;21.06.2011
60,9167;22.06.2011
51,1092;23.06.2011
56,2583;24.06.2011
51,98;25.06.2011
47,9942;26.06.2011
61,7292;27.06.2011
57,4058;28.06.2011
59,1608;29.06.2011
57,3217;30.06.2011
56,3042;01.07.2011
48,3575;02.07.2011
35,5908;03.07.2011
61,86;04.07.2011
61,9283;05.07.2011
58,5133;06.07.2011
62,1267;07.07.2011
56,4967;08.07.2011
51,6717;09.07.2011
46,8017;10.07.2011
62,9042;11.07.2011
56,5983;12.07.2011
58,1625;13.07.2011
53,4575;14.07.2011
53,74;15.07.2011
43,9533;16.07.2011
42,6267;17.07.2011
50,8042;18.07.2011
57,8717;19.07.2011
57,5433;20.07.2011
55,575;21.07.2011
54,3908;22.07.2011
32,7308;23.07.2011
23,2192;24.07.2011
56,645;25.07.2011
54,0342;26.07.2011
54,3283;27.07.2011
53,6592;28.07.2011
53,41;29.07.2011
46,1542;30.07.2011
45,6267;31.07.2011
54,7608;01.08.2011
54,275;02.08.2011
54,2267;03.08.2011
54,5558;04.08.2011
53,74;05.08.2011
48,955;06.08.2011
29,6225;07.08.2011
49,8092;08.08.2011
43,8592;09.08.2011
50,8592;10.08.2011
50,005;11.08.2011
53,755;12.08.2011
50,6908;13.08.2011
43,8525;14.08.2011
50,8375;15.08.2011
55,8308;16.08.2011
57,06;17.08.2011
57,4592;18.08.2011
55,2575;19.08.2011
50,375;20.08.2011
46,5075;21.08.2011
64,9725;22.08.2011
61,6433;23.08.2011
67,1267;24.08.2011
74,0067;25.08.2011
57,9625;26.08.2011
52,965;27.08.2011
42,0817;28.08.2011
55,865;29.08.2011
64,6342;30.08.2011
61,33;31.08.2011
65,3967;01.09.2011
62,9983;02.09.2011
53,9708;03.09.2011
46,6925;04.09.2011
59,8633;05.09.2011
51,2033;06.09.2011
54,8058;07.09.2011
57,7858;08.09.2011
68,91;09.09.2011
51,8842;10.09.2011
45,5558;11.09.2011
58,565;12.09.2011
57,99;13.09.2011
58,3067;14.09.2011
61,9475;15.09.2011
64,02;16.09.2011
55,9008;17.09.2011
48,9817;18.09.2011
71,8192;19.09.2011
66,8083;20.09.2011
63,5242;21.09.2011
60,8142;22.09.2011
61,8308;23.09.2011
50,9158;24.09.2011
47,0508;25.09.2011
61,9458;26.09.2011
69,08;27.09.2011
66,2683;28.09.2011
64,5158;29.09.2011
63,9608;30.09.2011
53,455;01.10.2011
43,015;02.10.2011
54,585;03.10.2011
61,3175;04.10.2011
61,1275;05.10.2011
51,8633;06.10.2011
57,9308;07.10.2011
54,3783;08.10.2011
45,3917;09.10.2011
60,2975;10.10.2011
62,9358;11.10.2011
66,905;12.10.2011
65,9075;13.10.2011
60,9458;14.10.2011
51,9725;15.10.2011
46,2667;16.10.2011
65,975;17.10.2011
56,9967;18.10.2011
64,15;19.10.2011
71,8;20.10.2011
61,2233;21.10.2011
51,4;22.10.2011
43,4867;23.10.2011
55,7408;24.10.2011
60,6317;25.10.2011
69,8042;26.10.2011
68,8658;27.10.2011
63,9992;28.10.2011
55,1125;29.10.2011
52,2742;30.10.2011
63,4108;31.10.2011
52,1725;01.11.2011
69,7525;02.11.2011
60,545;03.11.2011
65,1417;04.11.2011
52,1775;05.11.2011
50,2292;06.11.2011
67,1167;07.11.2011
67,2325;08.11.2011
69,8733;09.11.2011
68,955;10.11.2011
55,495;11.11.2011
56,1658;12.11.2011
48,9108;13.11.2011
76,4267;14.11.2011
73,5067;15.11.2011
74,505;16.11.2011
76,945;17.11.2011
72,9508;18.11.2011
57,1867;19.11.2011
51,6942;20.11.2011
76,6325;21.11.2011
76,695;22.11.2011
77,405;23.11.2011
71,7775;24.11.2011
64,0417;25.11.2011
53,11;26.11.2011
39,6725;27.11.2011
71,9692;28.11.2011
64,4133;29.11.2011
70,2933;30.11.2011
59,2608;01.12.2011
61,2475;02.12.2011
49,0083;03.12.2011
45,2183;04.12.2011
54,5708;05.12.2011
56,61;06.12.2011
54,5908;07.12.2011
53,2942;08.12.2011
52,7567;09.12.2011
51,9442;10.12.2011
50,5908;11.12.2011
57,64;12.12.2011
51,7958;13.12.2011
54,9175;14.12.2011
53,8342;15.12.2011
54,41;16.12.2011
40,7333;17.12.2011
41,6758;18.12.2011
57,2283;19.12.2011
53,7933;20.12.2011
56,37;21.12.2011
56,2833;22.12.2011
51,345;23.12.2011
34,5833;24.12.2011
23,1533;25.12.2011
39,1808;26.12.2011
54,5467;27.12.2011
49,1017;28.12.2011
45,5333;29.12.2011
47,9625;30.12.2011
47,0292;31.12.2011
18,7458;01.01.2012
49,8933;02.01.2012
42,2708;03.01.2012
47,135;04.01.2012
40,6325;05.01.2012
47,3375;06.01.2012
39,505;07.01.2012
37,2358;08.01.2012
56,0567;09.01.2012
54,2742;10.01.2012
54,315;11.01.2012
46,7275;12.01.2012
44,3967;13.01.2012
46,1025;14.01.2012
43,865;15.01.2012
56,3275;16.01.2012
55,9617;17.01.2012
48,2908;18.01.2012
51,1267;19.01.2012
48,605;20.01.2012
40,1167;21.01.2012
22,3675;22.01.2012
51,3292;23.01.2012
56,0433;24.01.2012
51,9242;25.01.2012
49,5925;26.01.2012
55,2667;27.01.2012
50,0008;28.01.2012
44,7225;29.01.2012
51,0467;30.01.2012
54,6425;31.01.2012
58,1408;01.02.2012
75,5242;02.02.2012
77,1075;03.02.2012
56,5867;04.02.2012
44,7983;05.02.2012
98,8967;06.02.2012
95,5208;07.02.2012
129,9383;08.02.2012
92,9933;09.02.2012
101,3483;10.02.2012
59,2958;11.02.2012
42,6392;12.02.2012
113,6375;13.02.2012
78,4958;14.02.2012
42,3975;15.02.2012
64,0792;16.02.2012
54,505;17.02.2012
45,365;18.02.2012
31,8775;19.02.2012
55,3417;20.02.2012
47,8675;21.02.2012
47,0383;22.02.2012
52,6667;23.02.2012
50,7558;24.02.2012
42,5992;25.02.2012
45,7108;26.02.2012
52,2892;27.02.2012
52,1775;28.02.2012
57,42;29.02.2012
52,69;01.03.2012
52,8008;02.03.2012
41,2117;03.03.2012
40,9617;04.03.2012
51,9433;05.03.2012
52,8225;06.03.2012
44,565;07.03.2012
52,0275;08.03.2012
50,7908;09.03.2012
46,0942;10.03.2012
35,8517;11.03.2012
52,1917;12.03.2012
52,4258;13.03.2012
51,8917;14.03.2012
52,5558;15.03.2012
45,4867;16.03.2012
43,9625;17.03.2012
36,4208;18.03.2012
52,9717;19.03.2012
46,6217;20.03.2012
48,3108;21.03.2012
47,9292;22.03.2012
45,2225;23.03.2012
39,3167;24.03.2012
21,87;25.03.2012
45,6583;26.03.2012
41,9317;27.03.2012
43,7417;28.03.2012
34,2408;29.03.2012
41,0558;30.03.2012
21,565;31.03.2012
18,9275;01.04.2012
52,03;02.04.2012
54,8308;03.04.2012
52,4008;04.04.2012
55,9592;05.04.2012
42,3033;06.04.2012
39,1983;07.04.2012
30,5892;08.04.2012
23,8425;09.04.2012
47,5983;10.04.2012
60,0167;11.04.2012
56,3767;12.04.2012
61,0292;13.04.2012
47,3392;14.04.2012
33,4408;15.04.2012
49,3642;16.04.2012
53,985;17.04.2012
58,8617;18.04.2012
53,1533;19.04.2012
57,8775;20.04.2012
40,6658;21.04.2012
36,6733;22.04.2012
57,0667;23.04.2012
57,925;24.04.2012
46,3567;25.04.2012
43,7967;26.04.2012
47,1533;27.04.2012
38,6217;28.04.2012
21,5092;29.04.2012
47,3367;30.04.2012
21,3875;01.05.2012
57,9767;02.05.2012
57,11;03.05.2012
