Settlement;Date;ContractName
25;03.01.2011 00:00;Cal-2013
24,48;04.01.2011 00:00;Cal-2013
24,48;05.01.2011 00:00;Cal-2013
24,69;06.01.2011 00:00;Cal-2013
24,65;07.01.2011 00:00;Cal-2013
24,7;10.01.2011 00:00;Cal-2013
24,99;11.01.2011 00:00;Cal-2013
25,28;12.01.2011 00:00;Cal-2013
25,03;13.01.2011 00:00;Cal-2013
24,87;14.01.2011 00:00;Cal-2013
24,87;17.01.2011 00:00;Cal-2013
24,85;18.01.2011 00:00;Cal-2013
24,8;19.01.2011 00:00;Cal-2013
24,34;20.01.2011 00:00;Cal-2013
24,14;21.01.2011 00:00;Cal-2013
23,55;24.01.2011 00:00;Cal-2013
23,28;25.01.2011 00:00;Cal-2013
23,53;26.01.2011 00:00;Cal-2013
23,64;27.01.2011 00:00;Cal-2013
23,43;28.01.2011 00:00;Cal-2013
23,45;31.01.2011 00:00;Cal-2013
24,35;01.02.2011 00:00;Cal-2013
24,74;02.02.2011 00:00;Cal-2013
25;03.02.2011 00:00;Cal-2013
24,88;04.02.2011 00:00;Cal-2013
24,73;07.02.2011 00:00;Cal-2013
24,36;08.02.2011 00:00;Cal-2013
24,24;09.02.2011 00:00;Cal-2013
24,34;10.02.2011 00:00;Cal-2013
24,68;11.02.2011 00:00;Cal-2013
24,77;14.02.2011 00:00;Cal-2013
24,82;15.02.2011 00:00;Cal-2013
24,7;16.02.2011 00:00;Cal-2013
25,21;17.02.2011 00:00;Cal-2013
25,2;18.02.2011 00:00;Cal-2013
25,89;21.02.2011 00:00;Cal-2013
26,25;22.02.2011 00:00;Cal-2013
26,02;23.02.2011 00:00;Cal-2013
26,03;24.02.2011 00:00;Cal-2013
25,89;25.02.2011 00:00;Cal-2013
26,09;28.02.2011 00:00;Cal-2013
26,08;01.03.2011 00:00;Cal-2013
26,4;02.03.2011 00:00;Cal-2013
26,44;03.03.2011 00:00;Cal-2013
26,45;04.03.2011 00:00;Cal-2013
26,7;07.03.2011 00:00;Cal-2013
26,15;08.03.2011 00:00;Cal-2013
26,16;09.03.2011 00:00;Cal-2013
25,7;10.03.2011 00:00;Cal-2013
25,77;11.03.2011 00:00;Cal-2013
26,55;14.03.2011 00:00;Cal-2013
27,03;15.03.2011 00:00;Cal-2013
27,36;16.03.2011 00:00;Cal-2013
27,18;17.03.2011 00:00;Cal-2013
26,9;18.03.2011 00:00;Cal-2013
26,98;21.03.2011 00:00;Cal-2013
27,5;22.03.2011 00:00;Cal-2013
27,74;23.03.2011 00:00;Cal-2013
27,73;24.03.2011 00:00;Cal-2013
27,57;25.03.2011 00:00;Cal-2013
28,28;28.03.2011 00:00;Cal-2013
28,05;29.03.2011 00:00;Cal-2013
28,08;30.03.2011 00:00;Cal-2013
28,5;31.03.2011 00:00;Cal-2013
28,53;01.04.2011 00:00;Cal-2013
28,87;04.04.2011 00:00;Cal-2013
28,91;05.04.2011 00:00;Cal-2013
28,6;06.04.2011 00:00;Cal-2013
