arSimPrices;IndexType;priceData
DEBY1;cal;DEBY1
DEBY2;cal;DEBY2
DEBY3;cal;DEBY3
DEPY1;cal;DEPY1
DEPY2;cal;DEPY2
DEPY3;cal;DEPY3
THEY1;cal;THEY1
THEY2;cal;THEY2
THEY3;cal;THEY3
DEBSpot;spot;DEBSpot
DEPSpot;spot;DEPSpot
DEBY1QI;quarter;DEBY1,SpreadBQI
DEBY2QI;quarter;DEBY2,SpreadBQI
DEBY3QI;quarter;DEBY3,SpreadBQI
DEPY1QI;quarter;DEPY1,SpreadPQI
DEPY2QI;quarter;DEPY2,SpreadPQI
DEPY3QI;quarter;DEPY3,SpreadPQI
DEBY1QII;quarter;DEBY1,SpreadBQII
DEBY2QII;quarter;DEBY2,SpreadBQII
DEBY3QII;quarter;DEBY3,SpreadBQII
DEPY1QII;quarter;DEPY1,SpreadPQII
DEPY2QII;quarter;DEPY2,SpreadPQII
DEPY3QII;quarter;DEPY3,SpreadPQII
DEBY0QII;quarter;DEBY1,Spread0BQII
DEPY0QII;quarter;DEPY1,Spread0PQII
DEBY1QIII;quarter;DEBY1,SpreadBQIII
DEBY2QIII;quarter;DEBY2,SpreadBQIII
DEBY3QIII;quarter;DEBY3,SpreadBQIII
DEPY1QIII;quarter;DEPY1,SpreadPQIII
DEPY2QIII;quarter;DEPY2,SpreadPQIII
DEPY3QIII;quarter;DEPY3,SpreadPQIII
DEBY0QIII;quarter;DEBY1,Spread0BQIII
DEPY0QIII;quarter;DEPY1,Spread0PQIII
DEBY1QIV;quarter;DEBY1,SpreadBQIV
DEBY2QIV;quarter;DEBY2,SpreadBQIV
DEBY3QIV;quarter;DEBY3,SpreadBQIV
DEPY1QIV;quarter;DEPY1,SpreadPQIV
DEPY2QIV;quarter;DEPY2,SpreadPQIV
DEPY3QIV;quarter;DEPY3,SpreadPQIV
DEBY0QIV;quarter;DEBY1,Spread0BQIV
DEPY0QIV;quarter;DEPY1,Spread0PQIV
