arSimPricesOffPeak;IndexType;arSimPrices
DEoffPY1;cal;DEBY1,DEPY1
DEoffPY2;cal;DEBY2,DEPY2
DEoffPY3;cal;DEBY3,DEPY3
DEoffPSpot;spot;DEBSpot,DEPSpot
DEoffPY1QI;quarter;DEBY1QI,DEPY1QI
DEoffPY2QI;quarter;DEBY2QI,DEPY2QI
DEoffPY3QI;quarter;DEBY3QI,DEPY3QI
DEoffPY0QI;quarter;DEBY0QI,DEPY0QI
DEoffPY1QII;quarter;DEBY1QII,DEPY1QII
DEoffPY2QII;quarter;DEBY2QII,DEPY2QII
DEoffPY3QII;quarter;DEBY3QII,DEPY3QII
DEoffPY0QII;quarter;DEBY0QII,DEPY0QII
DEoffPY1QIII;quarter;DEBY1QIII,DEPY1QIII
DEoffPY2QIII;quarter;DEBY2QIII,DEPY2QIII
DEoffPY3QIII;quarter;DEBY3QIII,DEPY3QIII
DEoffPY0QIII;quarter;DEBY0QIII,DEPY0QIII
DEoffPY1QIV;quarter;DEBY1QIV,DEPY1QIV
DEoffPY2QIV;quarter;DEBY2QIV,DEPY2QIV
DEoffPY3QIV;quarter;DEBY3QIV,DEPY3QIV
DEoffPY0QIV;quarter;DEBY0QIV,DEPY0QIV
