priceData;Type;MontelIndex;Product;Block
DEBY1;cal;DEBY1;POWER;BASE
DEBY2;cal;DEBY2;POWER;BASE
DEBY3;cal;DEBY3;POWER;BASE
DEPY1;cal;DEPY1;POWER;PEAK
DEPY2;cal;DEPY2;POWER;PEAK
DEPY3;cal;DEPY3;POWER;PEAK
THEY1;cal;THEY1;GAS;NA
THEY2;cal;THEY2;GAS;NA
THEY3;cal;THEY3;GAS;NA
DEBSpot;spot;DEBSpot;POWER;BASE
DEPSpot;spot;DEPSpot;POWER;PEAK
SpreadBQII;quarter;DEBQ1,DEBQ2,DEBQ3,DEBQ4,DEBQ5,DEBQ6,DEBQ7;POWER;BASE
SpreadBQIII;quarter;DEBQ1,DEBQ2,DEBQ3,DEBQ4,DEBQ5,DEBQ6,DEBQ7;POWER;BASE
SpreadBQIV;quarter;DEBQ1,DEBQ2,DEBQ3,DEBQ4,DEBQ5,DEBQ6,DEBQ7;POWER;BASE
SpreadPQII;quarter;DEPQ1,DEPQ2,DEPQ3,DEPQ4,DEPQ5,DEPQ6,DEPQ7;POWER;PEAK
SpreadPQIII;quarter;DEPQ1,DEPQ2,DEPQ3,DEPQ4,DEPQ5,DEPQ6,DEPQ7;POWER;PEAK
SpreadPQIV;quarter;DEPQ1,DEPQ2,DEPQ3,DEPQ4,DEPQ5,DEPQ6,DEPQ7;POWER;PEAK
Spread0BQII;quarter;DEBQ1,DEBQ2,DEBQ3,DEBQ4,DEBQ5,DEBQ6,DEBQ7;POWER;BASE
Spread0BQIII;quarter;DEBQ1,DEBQ2,DEBQ3,DEBQ4,DEBQ5,DEBQ6,DEBQ7;POWER;BASE
Spread0BQIV;quarter;DEBQ1,DEBQ2,DEBQ3,DEBQ4,DEBQ5,DEBQ6,DEBQ7;POWER;BASE
Spread0PQII;quarter;DEPQ1,DEPQ2,DEPQ3,DEPQ4,DEPQ5,DEPQ6,DEPQ7;POWER;PEAK
Spread0PQIII;quarter;DEPQ1,DEPQ2,DEPQ3,DEPQ4,DEPQ5,DEPQ6,DEPQ7;POWER;PEAK
Spread0PQIV;quarter;DEPQ1,DEPQ2,DEPQ3,DEPQ4,DEPQ5,DEPQ6,DEPQ7;POWER;PEAK
