SIM_NAME;KEY;YEARS_TO_DELIVERY
DEBY1_LOWER;B1L;1
DEBY1_UPPER;B1U;1
DEBY2_LOWER;B2L;2
DEBY2_UPPER;B2U;2
DEBY3_LOWER;B3L;3
DEBY3_UPPER;B3U;3
DEPY1_LOWER;P1L;1
DEPY1_UPPER;P1U;1
DEPY2_LOWER;P2L;2
DEPY2_UPPER;P2U;2
DEPY3_LOWER;P3L;3
DEPY3_UPPER;P3U;3
THEY1_LOWER;G1L;1
THEY1_UPPER;G1U;1
THEY2_LOWER;G2L;2
THEY2_UPPER;G2U;2
THEY3_LOWER;G3L;3
THEY3_UPPER;G3U;3
DEBY0QII_LOWER;B02L;0
DEBY0QII_UPPER;B02U;0
DEPY0QII_LOWER;P02L;0
DEPY0QII_UPPER;P02U;0
DEBY0QIII_LOWER;B03L;0
DEBY0QIII_UPPER;B03U;0
DEPY0QIII_LOWER;P03L;0
DEPY0QIII_UPPER;P03U;0
DEBY0QIV_LOWER;B04L;0
DEBY0QIV_UPPER;B04U;0
DEPY0QIV_LOWER;P04L;0
DEPY0QIV_UPPER;P04U;0
DEoffPY1_LOWER;OP1L;1
DEoffPY1_UPPER;OP1U;1
DEoffPY2_LOWER;OP2L;2
DEoffPY2_UPPER;OP2U;2
DEoffPY3_LOWER;OP3L;3
DEoffPY3_UPPER;OP3U;3
DEoffPY0QII_LOWER;OP02L;0
DEoffPY0QII_UPPER;OP02U;0
DEoffPY0QIII_LOWER;OP03L;0
DEoffPY0QIII_UPPER;OP03U;0
DEoffPY0QIV_LOWER;OP04L;0
DEoffPY0QIV_UPPER;OP04U;0
